released_year,streams,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify
2020,403097450,F#,Minor,60,52,76,17,0,19,5,spring,3,True
2022,309483971,F,Minor,74,64,73,6,0,10,6,fall,1,True
2022,319566866,F#,Minor,70,40,51,35,0,10,4,fall,1,True
2022,909001996,F,Minor,80,29,67,29,0,12,3,spring,1,True
2021,1061966512,A,Major,58,42,68,1,0,14,4,fall,1,True
2023,32526947,E,Major,53,32,66,38,0,9,3,spring,2,False
2023,124988687,F#,Minor,56,56,63,13,0,19,27,winter,3,False
2023,103787664,A,Major,70,84,90,17,0,41,6,winter,2,False
2023,134255790,G#,Major,64,25,89,0,0,15,9,winter,2,True
2022,301051721,A#,Minor,88,82,80,8,0,11,8,fall,1,True
2022,156338624,F,Major,66,74,84,25,0,21,4,fall,3,False
2023,152850295,C#,Major,79,60,68,7,0,26,4,winter,1,True
2022,309653982,D#,Minor,82,55,45,15,3,9,10,fall,2,False
2022,297328960,A,Major,25,17,30,90,0,13,3,fall,3,False
2022,332506354,D,Minor,64,31,72,15,0,9,5,fall,3,False
2016,480507035,E,Minor,57,47,84,1,1,52,4,fall,3,True
2019,1065580332,B,Minor,65,80,86,9,0,19,10,spring,2,False
2016,122763672,D,Major,92,73,51,55,0,15,6,fall,3,False
2022,445763624,B,Major,81,82,78,38,0,12,4,winter,2,True
2022,1365184,G,Major,82,62,74,10,0,33,7,winter,1,True
2022,184308753,F#,Minor,44,38,77,9,0,9,20,fall,2,False
2015,789753877,G,Minor,51,62,79,22,13,14,3,winter,3,True
2022,323358833,G,Major,71,34,88,16,0,44,4,fall,2,True
2022,606361689,F,Major,70,57,64,23,0,8,32,spring,3,True
