released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify,class_label_apple_chart_category
2023,654,100409613,11,18,B,Minor,72,79,78,55,0,15,30,2,2,True,1
2023,1479,80758350,23,18,G#,Major,71,80,65,51,0,22,32,2,1,False,5
2022,4942,325592432,190,147,G#,Major,70,70,79,7,0,18,10,4,2,True,3
2023,709,58473276,8,13,F#,Minor,48,50,80,40,0,37,20,2,1,False,1
2023,660,52722996,22,11,G,Major,73,22,86,31,0,12,4,2,2,False,1
2021,489,191945597,4,5,D,Minor,78,75,46,62,0,12,35,1,3,True,1
2023,407,77377503,16,5,B,Minor,67,11,76,8,47,30,7,2,3,False,1
2022,7461,743693613,166,199,A#,Major,71,90,73,30,0,11,5,2,2,True,1
2022,993,267789608,30,88,F#,Major,74,79,87,45,0,30,3,1,2,True,2
2020,9161,1221813483,240,468,F,Major,65,63,79,3,0,10,3,2,2,True,2
2022,3282,449701773,67,46,G,Major,59,22,38,42,0,12,3,2,2,True,2
2023,596,67070410,29,12,A,Major,72,42,66,18,4,19,4,2,1,False,1
2023,320,116334601,5,2,G,Minor,70,76,79,26,0,11,7,2,3,True,1
2022,2612,433356509,19,21,F,Major,64,18,37,72,0,12,7,4,3,True,1
2023,2040,165584767,81,66,G,Major,90,96,73,62,0,9,4,1,2,True,1
